name,story_score,evidence_score,recommended_title
Yogi Satyamurti,5,5,Scientists Sealed a Yogi Underground for Eight Days—What Did They Actually Record?
Swami Rama,5,5,Did Swami Rama Really Stop His Heart? Reading the Menninger Records Carefully
Sadhu Haridas,4,3,"The Yogi Buried at Ranjit Singh's Court: Miracle, Trance or Colonial Myth?"
Boganathar,5,2,The Tamil Alchemist Who May Have Traveled to China — Textual Bogar vs Temple Legend
Matsyendranath,5,2,"Matsyendranath May Be Four Different People — Kaula, Nāth, Avalokiteśvara, and the Fish"
Mekhala & Kanakhala,5,2,The Two Yoginīs Who Returned to Their Guru Without Their Old Identities
Bamakhepa,5,3,The Mad Saint Who Treated a Goddess Like His Mother
Sarvananda of Mehar,4,2,The Village Fool Who Became Bengal's Master of Ten Goddesses
Ra Lotsawa,5,3,"Tibet's Most Feared Translator: Saint, Sorcerer or Religious Propaganda?"
Thangtong Gyalpo,5,5,The Yogi Who Invented Tibetan Opera to Build Iron Bridges
Tajuddin Baba,5,4,The Saint Who Lived in a Colonial Mental Asylum
Shivapuri Baba,4,2,The 137-Year-Old Yogi Who Claimed He Walked Around the World
Theos Bernard,5,5,The American Lama Who Photographed Tibet—and Then Vanished
Kukkuripa,4,2,The Buddhist Master Who Abandoned Heaven for a Stray Dog
Changdev,5,2,"The 1,400-Year-Old Yogi Humiliated by Four Children"
